percent_of_population_under_15_(2013_2017),percent_of_population_aged_15_to_64_(2013_2017),percent_of_population_65plus_(2013_2017),percent_of_population_white_(non_hispanic)_(2013_2017),percent_of_populaiton_black_(non_hispanic)_(2013_2017),percent_of_population_hispanic_or_latino_(2013_2017),percent_of_population_asian_(non_hispanic)_(2013_2017),percent_of_population_native_american_alaska_native_(non_hispanic)_(2013_2017),percent_of_population_native_hawaiian_pacific_islander_(2013_2017),percent_of_population_aged_25plus_who_have_at_least_a_high_school_diploma_(2013_2017),percent_of_population_aged_25plus_who_have_a_bachelor's_degree_or_more_(2013_2017),poverty_rate_(2013_2017),median_household_income_(2013_2017),unemployment_rate_(2013_2017),percent_of_residents_with_a_disability_(aged_18_64)_(2013_2017),percent_of_popualtion_employed_in_mining_and_natural_resources_(2013_2017),percent_of_popualtion_employed_in_construction_(2013_2017),percent_of_popualtion_employed_in_trade_transportation_and_utilities_(2013_2017),number_of_substance_use_facilities_(as_of_march_2023),number_of_mental_health_facilities_(as_of_march_2023),mdspercapita,urbanicity,social_resilience_score,economic_risk_score,social_risk_score,economic_resilience_score,prosperity_index_score,delta_death_rate,m_enforce,ad_providers_Physicians,m_providers_Physicians,PDMP_any,PDMP_strestOnly if other state has PDMP laws consistent with or similar to this state,m_disc_specifics_Risks of the use of the drug,mmps-cann_THC,mmps-cpa_Independent third parties,PDMP_regkindPhysician prescribers,PDMP_Medicaid,m_write,PDMP_regawhen_Prior to accessing the PDMP,PDMP_proactNo action specified in the law,PDMP_regkindPhysician assistants,ad_disc_specifics_Risks of the use of the drug,PDMP_regkind_Optometrists,PDMP_agency_Professional licensing authority,PDMP_strest_Must have bilateral memorandum of understanding or data sharing agreement,mmps-label_Product potency,PDMP_leowhenActive investigations,PDMP_regkindNurse Practitioners,diff_std,m_law,PDMP_regkind_Pharmacists,PDMP_drepschSchedule V,PDMP_regkind_Podiatrists,ad_write,adult_law,PDMP_regkind_Dentists,PDMP_mimm,PDMP_agencyDepartment of Health ,population
0.1856,0.5575,0.2569,0.8923,0.0003,0.0795,0.0062,0.0016,0,0.8844,0.1561,0.1033,40344,0.0545,0.0841,0.0679,0.032,0.1616,0,1,0,0,3,2,4,2,3,0.9771733067221468,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,771
0.2277,0.5759,0.1964,0.9663,0.0024,0.0193,0,0.0024,0,0.9053,0.2077,0.1183,51346,0.0092,0.1163,0.1574,0,0.1626,0,0,0,0,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,182
0.1587,0.5959,0.2454,0.9797,0,0,0,0.0055,0,0.9726,0.2189,0.0996,56750,0.0034,0.0559,0.0896,0,0.1547,0,0,0,0,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98
0.1906,0.6188,0.1906,0.9718,0,0.0094,0,0,0,0.9348,0.2453,0.1835,53750,0,0.0956,0,0,0.2045,0,0,0,0,3,3,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69
0.183,0.6119,0.2052,0.9739,0.0008,0.0244,0.0003,0,0.0006,0.9074,0.1734,0.1242,42429,0.0324,0.1143,0.1454,0,0.1761,0,0,0,0,4,3,2,1,2,1.7833590188842194,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,748
0.168,0.5701,0.2619,0.9552,0.0009,0.0269,0.0062,0,0,0.9334,0.1661,0.1277,41576,0.0287,0.1184,0.0036,0.022,0.2212,0,0,0,0,2,2,3,1,2,25.50690730837789,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,795
0.1692,0.5692,0.2616,0.9555,0,0.0186,0,0.0022,0,0.9071,0.1617,0.2025,40139,0.0304,0.0892,0,0,0.1026,0,0,0,0,2,3,4,3,3,1.8958086685343216,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,472
0.1948,0.5885,0.2168,0.9564,0.0017,0.0374,0,0,0,0.8914,0.2312,0.0676,56797,0.0187,0.0775,0.0837,0.0919,0.2805,0,0,0,0,2,2,4,1,1,0.5515577609872437,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,676
0.1393,0.602,0.2587,0.9574,0.0028,0.0071,0.0021,0,0,0.9245,0.1748,0.1042,48750,0.0163,0.075,0.052,0,0.2629,0,0,0,0,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,233
0.1805,0.5748,0.2447,0.8254,0.0049,0.0434,0.0068,0.077,0.0006,0.8981,0.2505,0.1681,42802,0.021,0.0725,0.1102,0.01,0.2404,1,0,0,0,2,4,2,3,3,19.819929589035528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,993
0.1806,0.5583,0.2612,0.9693,0.0074,0.0191,0.0029,0.0006,0,0.9252,0.1586,0.1328,46299,0.0224,0.1011,0.0399,0.0319,0.2818,0,0,0,0,4,1,3,3,3,1.1271586714267483,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,545
0.1805,0.5926,0.2268,0.9239,0.0031,0.0243,0.0024,0,0,0.9399,0.2906,0.1099,46667,0,0.0441,0.2372,0,0.0936,0,0,0,0,2,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,248
0.1735,0.5729,0.2535,0.9568,0.0014,0.0221,0,0.0025,0,0.9185,0.1959,0.1203,45590,0.0144,0.0953,0.0424,0.0469,0.1877,0,0,0,0,2,2,3,2,2,20.211863102555867,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,948
0.1837,0.6252,0.1911,0.96,0,0.0059,0.0207,0.0015,0,0.9336,0.2377,0.0963,54286,0.0182,0.0438,0.0816,0,0.1898,0,0,0,0,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,191
0.1844,0.5743,0.2413,0.9604,0.0028,0.0264,0,0.0019,0,0.9266,0.2063,0.1279,44657,0.0184,0.1092,0.0674,0.0563,0.2371,0,1,0,0,1,3,4,2,2,1.2228343545072846,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,851
0.1798,0.5864,0.2338,0.9241,0.0011,0.0434,0.0117,0,0,0.9188,0.2077,0.1037,40313,0.0305,0.1253,0.0949,0,0.252,0,0,27.29,0,2,3,2,3,3,1.767746630381616,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,690
0.123,0.641,0.236,0.9963,0,0,0.0012,0,0,0.9497,0.1656,0.0509,47452,0.0063,0.0896,0.5003,0.0069,0.1939,0,0,0,0,3,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,179
0.1768,0.5585,0.2647,0.8485,0,0.1272,0,0.015,0,0.8917,0.1682,0.1188,43125,0.1139,0.1353,0.572,0,0.0349,0,0,0,0,4,3,5,5,5,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,242
0.1821,0.6618,0.1561,0.9827,0.0006,0.0046,0,0.0121,0,0.9158,0.166,0.1078,70000,0.0376,0.1258,0.1883,0,0.0318,0,0,0,0,2,5,4,3,4,62.38303181534623,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,373
0.1454,0.6074,0.2472,0.5924,0.0117,0.1297,0.0332,0.1899,0,0.8655,0.1179,0.212,37750,0.1299,0.1875,0.0657,0,0.0906,0,1,0,0,4,3,5,5,5,21.807941551994286,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,895
0.0985,0.6146,0.287,0.8655,0.0041,0.0619,0.0206,0.019,0.002,0.9397,0.2313,0.0724,65508,0.0409,0.1872,0.0133,0.0948,0.5293,0,0,0,1,2,2,1,3,2,-0.664609012,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,745
0.0877,0.5689,0.3434,0.786,0.0085,0.1928,0.0034,0.0028,0,0.9226,0.2476,0.2287,38142,0.0401,0.1434,0.0381,0.0259,0.1483,0,0,0,0,3,4,2,3,3,-0.267678449,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,349
0.1032,0.6631,0.2337,0.4704,0,0.4765,0,0,0,0.8589,0.0954,0.1996,31197,0.0659,0.0938,0.0364,0.0235,0.2633,0,0,0,0,3,3,4,4,3,53.39028296849973,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,484
0.1363,0.5752,0.2885,0.577,0,0.4195,0,0,0,0.8899,0.2577,0.1434,32404,0.0596,0.1818,0.1118,0,0.0635,0,0,0,0,1,4,2,4,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,69
0.1916,0.6136,0.1949,0.4173,0.0033,0.5721,0,0.0011,0,0.7693,0.1544,0.2432,34528,0.1138,0.1488,0.0812,0,0.1735,0,2,0,0,4,4,3,4,4,25.39066162051708,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,957
0.1644,0.6281,0.2075,0.1385,0.0011,0.799,0,0.0004,0,0.8772,0.1318,0.2253,21190,0.0293,0.254,0.0687,0,0.1483,0,0,43.5,0,4,4,2,5,4,25.51039286416137,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,783
0.1258,0.6072,0.267,0.9542,0.006,0.0141,0.0006,0.0011,0.0002,0.8627,0.2162,0.1128,52708,0.0923,0.1196,0.006,0.0415,0.1413,0,0,0,0,2,3,2,2,2,18.17311390719596,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,657
0.1538,0.6453,0.2008,0.5201,0.3626,0.1027,0.0034,0.0046,0,0.73,0.0824,0.2527,32165,0.1288,0.1695,0.1303,0.04,0.1309,0,0,0,0,5,4,3,5,4,4.878802645946706,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,964
0.1627,0.6146,0.2227,0.931,0.0089,0.0085,0.0162,0.0226,0,0.9596,0.2753,0.1051,53295,0.0198,0.0513,0.0795,0.0197,0.2092,0,0,0,0,1,4,2,1,1,2.1132890469180694,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,469
0.1624,0.6656,0.172,0.9476,0.0085,0.0321,0,0.0118,0,0.901,0.2489,0.11,67969,0.0299,0.0629,0.0327,0.0173,0.1326,0,0,0,0,2,1,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,253
0.2017,0.5998,0.1986,0.9302,0.0012,0.0476,0,0.0127,0,0.8975,0.2194,0.0764,62955,0.022,0.0791,0.1028,0.0898,0.2828,0,0,0,0,2,2,3,1,1,2.185521796392706,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,700
0.2068,0.6168,0.1764,0.9352,0.0045,0.0353,0.0004,0.0152,0,0.8894,0.2087,0.1184,65521,0.0186,0.0488,0.0883,0.0583,0.3421,0,0,0,0,3,3,2,2,2,1.2719767318527389,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,526
0.1686,0.5684,0.263,0.9594,0.0013,0.0129,0.0026,0.0098,0,0.91,0.1867,0.0526,65645,0.0105,0.069,0.0149,0.0777,0.3239,0,0,0,0,2,3,2,3,3,0.9857979148985656,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,652
0.1739,0.5876,0.2385,0.9417,0.0068,0.0034,0.0148,0.0089,0,0.8821,0.2308,0.0939,62470,0.0164,0.0875,0.0897,0.0155,0.3238,0,0,0,0,3,2,4,1,2,3.3254368624483988,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,424
0.1797,0.611,0.2093,0.9017,0,0.0181,0,0.0511,0.003,0.8907,0.2215,0.1344,55489,0.0211,0.0842,0.0106,0.0171,0.1696,0,0,0,0,3,3,3,3,3,-0.141948168,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,494
0.1675,0.561,0.2715,0.9658,0,0,0.0131,0.0009,0,0.8484,0.1529,0.1195,45472,0.0338,0.0806,0.0433,0.0473,0.2392,0,0,0,0,2,2,3,2,2,0.9682573550589132,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,519
0.1758,0.6024,0.2218,0.9629,0.0006,0.0117,0.0036,0.0102,0,0.8874,0.2163,0.0935,55625,0.0118,0.0781,0,0.0383,0.2752,1,0,29.9,0,2,1,1,1,1,-0.44895868,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,672
0.2037,0.6222,0.1741,0.943,0,0.0179,0,0.0042,0,0.924,0.2231,0.095,37014,0.0039,0.0949,0.0615,0,0.3017,0,0,0,0,2,3,3,1,2,55.18763796909492,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,363
0.1423,0.5867,0.271,0.9662,0.003,0.0063,0.0017,0.0156,0,0.8866,0.1806,0.1357,45978,0.0269,0.0703,0.0306,0.0184,0.1608,0,0,0,0,1,4,4,2,2,0.3231876935871796,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,431
0.1419,0.5634,0.2947,0.9624,0.0121,0.0043,0,0.0104,0,0.8764,0.2027,0.0727,50250,0.016,0.0867,0.0257,0.0161,0.2021,0,0,0,0,1,2,2,1,1,1.331721885517453,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,427
0.1849,0.551,0.2641,0.925,0.003,0.0277,0,0.0167,0.0042,0.879,0.1379,0.0835,55230,0.0252,0.0704,0.0269,0.0422,0.2428,0,0,0,0,3,3,2,3,3,2.074884238119168,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,603
0.1538,0.6379,0.2084,0.9442,0,0.0508,0.0021,0.0012,0,0.9097,0.197,0.0703,58527,0.016,0.0772,0.1535,0.0111,0.1732,0,0,0,0,2,2,2,4,2,0.3794187408368259,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,502
0.1759,0.5799,0.2442,0.9747,0.0015,0.0088,0,0.0032,0,0.8628,0.2253,0.0959,55900,0.0176,0.0711,0.0527,0.0298,0.2948,0,0,0,0,3,3,2,3,2,-0.361406391,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,733
0.1527,0.5611,0.2862,0.9675,0.0005,0.015,0.0026,0.0036,0,0.8441,0.138,0.0699,55068,0.018,0.0651,0,0.0387,0.2747,0,0,0,0,3,2,1,2,2,55.12679162072767,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,325
0.1461,0.5331,0.3208,0.951,0.0015,0.0153,0.011,0.0011,0,0.8158,0.1828,0.0965,43650,0.0107,0.0982,0.0472,0.0185,0.2396,0,0,0,0,1,2,4,1,2,2.4044562969438203,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,432
0.1487,0.5709,0.2803,0.9617,0.0066,0.0241,0,0.0056,0,0.9165,0.1942,0.0859,51280,0.0084,0.0709,0.0712,0.0209,0.2013,0,0,0,0,2,3,2,1,2,-0.032601183,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,524
0.1821,0.595,0.2229,0.9174,0.0051,0.0158,0.0011,0.043,0,0.8791,0.1739,0.0411,66196,0.0219,0.0648,0.1384,0.108,0.3804,0,0,0,1,4,4,2,4,3,54.054054054054056,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,321
0.172,0.598,0.23,0.9659,0.0119,0.008,0,0.0087,0,0.8829,0.1401,0.1827,43086,0.0158,0.0841,0.0007,0.0108,0.2667,0,0,0,0,2,3,2,1,1,26.66187341467063,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,874
0.2208,0.6141,0.1652,0.9343,0.0066,0.0377,0.0093,0.0051,0,0.9216,0.1719,0.0672,65927,0.0093,0.0887,0.159,0.0394,0.2272,0,0,0,0,3,3,2,2,2,4.090188490481097,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,574
0.1641,0.6369,0.199,0.938,0.0167,0.0296,0.0023,0.0069,0,0.9173,0.1896,0.0579,57472,0.0088,0.0809,0.0272,0.0117,0.1163,0,0,0,0,3,2,2,3,2,0.3348990758192087,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,880
0.1448,0.6029,0.2523,0.9735,0,0.0108,0,0.0022,0,0.8686,0.1544,0.1693,48375,0.0395,0.0923,0,0.0123,0.1523,0,0,0,0,2,1,4,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,242
0.1789,0.585,0.2361,0.9323,0.0481,0.003,0,0,0,0.8858,0.2933,0.1008,58750,0,0.1172,0.2761,0.0224,0.2846,0,0,0,0,4,3,2,3,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,130
0.1701,0.5993,0.2306,0.9787,0,0.0213,0,0,0,0.9407,0.2316,0.0615,58603,0.0411,0.0952,0.0405,0.1536,0.2239,0,0,0,0,2,3,2,1,2,53.475935828877006,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,326
0.2042,0.5519,0.2439,0.8617,0,0.0231,0.0031,0.034,0,0.9227,0.1859,0.1406,53929,0.0515,0.0658,0.1242,0.0039,0.1987,1,0,130.89,0,2,4,2,2,2,2.032083004614023,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,444
0.1639,0.5444,0.2917,0.9773,0,0.0089,0,0.0036,0,0.8479,0.2126,0.0522,50685,0.0218,0.0874,0.0332,0.0366,0.2566,0,0,0,0,2,2,2,1,1,0.8785703570717693,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,679
0.193,0.5773,0.2296,0.7536,0.0026,0.2098,0.0026,0.0084,0,0.8448,0.1977,0.1571,44550,0.02,0.0987,0.2188,0.0051,0.1969,0,0,44.07,0,4,3,3,2,3,-0.038813103,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,513
0.202,0.5945,0.2035,0.8722,0,0.0735,0.0053,0.0073,0,0.8789,0.2187,0.1536,52222,0.0551,0.1021,0.057,0.0168,0.3523,0,0,0,0,4,4,3,2,3,1.971884865586468,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,847
0.1959,0.5913,0.2128,0.8917,0.0136,0.0449,0.0011,0.0042,0,0.9103,0.2428,0.0915,54040,0.037,0.0979,0.2621,0.1091,0.184,0,0,22.24,0,3,3,3,4,3,25.77063430899664,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,887
0.2115,0.5969,0.1916,0.5994,0.0686,0.273,0.0181,0.0071,0,0.77,0.2154,0.1602,35676,0.09,0.1703,0.0798,0,0.2268,0,0,35.55,0,3,3,5,3,4,3.8208430487248464,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,704
0.2168,0.5994,0.1838,0.8497,0.0011,0.0648,0.0003,0.0155,0,0.9189,0.2116,0.1275,48462,0.0147,0.1006,0.0923,0,0.2193,0,0,0,0,3,4,5,2,4,1.9651416242889648,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,799
0.196,0.5666,0.2373,0.8662,0.0031,0.0972,0,0.0282,0.0052,0.899,0.1705,0.112,40556,0.106,0.1685,0.0244,0.0395,0.1652,2,2,0,0,2,2,2,3,2,51.17707267144319,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,385
0.1337,0.6235,0.2428,0.8833,0.0047,0.051,0.0012,0.0246,0,0.9335,0.1697,0.1769,41389,0.072,0.1585,0.0032,0.0141,0.2968,0,0,58.65,0,2,2,2,2,2,56.05381165919282,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,339
0.084,0.5581,0.3579,0.943,0,0.019,0.0066,0.011,0,0.9161,0.1696,0.2022,33400,0.1046,0.1613,0.14,0,0.1713,1,1,0,0,1,4,2,4,2,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,204
0.1388,0.6235,0.2378,0.97,0.006,0.0081,0.0023,0.0015,0,0.8717,0.1558,0.1271,40347,0.0487,0.154,0.0026,0.0068,0.0757,1,0,20.8,0,3,3,3,4,4,22.71310533,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,855
0.205,0.5988,0.1962,0.8898,0.015,0.0633,0.0022,0.0238,0,0.8859,0.2063,0.0621,52620,0.0174,0.0907,0.15,0.0121,0.1687,0,0,0,0,3,1,4,3,3,1.1468732917805866,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,609
0.2903,0.5951,0.1147,0.3039,0.0099,0.0601,0,0.4929,0,0.7893,0.1779,0.3821,45820,0.1652,0.1289,0,0.1234,0.2257,1,0,29.03,0,3,5,4,2,4,0.2893396630639593,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,761
0.3255,0.5892,0.0853,0.1428,0.0039,0.0161,0,0.7895,0.0175,0.7748,0.0806,0.3918,31293,0.1445,0.1829,0,0,0,1,0,0,0,5,5,5,5,5,50.65856129685917,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,455
0.1906,0.5666,0.2428,0.9466,0,0.0019,0.0019,0.0393,0,0.905,0.238,0.076,45800,0.0094,0.0954,0.15,0,0.3753,0,0,0,0,3,2,2,2,2,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,245
0.1946,0.5988,0.2067,0.945,0.0135,0.017,0.0055,0.0113,0,0.8962,0.1669,0.1551,48563,0.0368,0.1528,0.0759,0.0823,0.2208,0,0,0,0,4,2,2,2,2,-1.101812634,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,770
0.2969,0.5952,0.1079,0.2993,0.0038,0.0067,0.0026,0.6739,0,0.8164,0.1635,0.4684,32115,0.2993,0.1269,0.0235,0.009,0.1555,0,0,0,0,5,5,4,5,5,1.239865610664058,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,948
0.1898,0.6011,0.2091,0.9898,0,0.007,0,0.0002,0,0.9153,0.1978,0.1058,54781,0.0206,0.1031,0.0384,0.1218,0.1838,0,0,0,0,3,1,1,2,2,23.489000293517684,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,898
0.1874,0.5674,0.2452,0.9493,0,0.0081,0.0003,0.0317,0,0.8573,0.2063,0.0727,51290,0.0026,0.0837,0.0327,0.0565,0.3228,0,0,0,0,1,2,4,2,2,1.4637075498035443,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,519
0.1928,0.606,0.2013,0.9572,0.0013,0.0107,0.0035,0.0217,0,0.8888,0.2294,0.0982,62467,0.0197,0.1077,0.0938,0.0302,0.3278,0,0,0,0,3,2,2,1,2,-0.031210986,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,810
0.1835,0.5616,0.2549,0.9405,0.0004,0.0217,0.0017,0.0336,0,0.922,0.261,0.1264,43529,0.0061,0.1291,0,0.0254,0.2075,0,0,0,0,2,4,1,2,2,3.879802535775916,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,397
