percent_of_population_under_15_(2013_2017),percent_of_population_aged_15_to_64_(2013_2017),percent_of_population_65plus_(2013_2017),percent_of_population_white_(non_hispanic)_(2013_2017),percent_of_populaiton_black_(non_hispanic)_(2013_2017),percent_of_population_hispanic_or_latino_(2013_2017),percent_of_population_asian_(non_hispanic)_(2013_2017),percent_of_population_native_american_alaska_native_(non_hispanic)_(2013_2017),percent_of_population_native_hawaiian_pacific_islander_(2013_2017),percent_of_population_aged_25plus_who_have_at_least_a_high_school_diploma_(2013_2017),percent_of_population_aged_25plus_who_have_a_bachelor's_degree_or_more_(2013_2017),poverty_rate_(2013_2017),median_household_income_(2013_2017),unemployment_rate_(2013_2017),percent_of_residents_with_a_disability_(aged_18_64)_(2013_2017),percent_of_popualtion_employed_in_mining_and_natural_resources_(2013_2017),percent_of_popualtion_employed_in_construction_(2013_2017),percent_of_popualtion_employed_in_trade_transportation_and_utilities_(2013_2017),number_of_substance_use_facilities_(as_of_march_2023),number_of_mental_health_facilities_(as_of_march_2023),mdspercapita,urbanicity,social_resilience_score,economic_risk_score,social_risk_score,economic_resilience_score,prosperity_index_score,delta_death_rate,m_enforce,ad_providers_Physicians,m_providers_Physicians,PDMP_any,PDMP_strestOnly if other state has PDMP laws consistent with or similar to this state,m_disc_specifics_Risks of the use of the drug,mmps-cann_THC,mmps-cpa_Independent third parties,PDMP_regkindPhysician prescribers,PDMP_Medicaid,m_write,PDMP_regawhen_Prior to accessing the PDMP,PDMP_proactNo action specified in the law,PDMP_regkindPhysician assistants,ad_disc_specifics_Risks of the use of the drug,PDMP_regkind_Optometrists,PDMP_agency_Professional licensing authority,PDMP_strest_Must have bilateral memorandum of understanding or data sharing agreement,mmps-label_Product potency,PDMP_leowhenActive investigations,PDMP_regkindNurse Practitioners,diff_std,m_law,PDMP_regkind_Pharmacists,PDMP_drepschSchedule V,PDMP_regkind_Podiatrists,ad_write,adult_law,PDMP_regkind_Dentists,PDMP_mimm,PDMP_agencyDepartment of Health ,population
0.1985,0.5608,0.2407,0.8864,0,0.014,0.004,0.0678,0,0.8821,0.1929,0.1647,40045,0.0155,0.1198,0.0573,0.0682,0.2358,0,0,0,0,2,3,4,1,2,1.261484543438538,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,831
0.1959,0.5789,0.2253,0.8881,0,0.0111,0,0.0743,0,0.9066,0.199,0.1794,39554,0.0275,0.095,0.0448,0.0091,0.2868,0,0,0,0,2,3,3,1,2,53.53319057815846,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,396
0.1776,0.5645,0.2579,0.9852,0.0003,0.0039,0.003,0,0,0.9175,0.2314,0.0607,52266,0.0189,0.074,0.1079,0.0264,0.2199,0,1,0,0,2,2,3,1,1,2.466706614158049,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,639
0.2729,0.5894,0.1378,0.9327,0.0375,0.0059,0,0.0177,0.0035,0.9217,0.2139,0.1002,60089,0.0035,0.1264,0.0599,0.1114,0.1808,0,0,0,0,3,3,1,3,2,-0.335503785,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,730
0.1566,0.6766,0.1668,0.9522,0.0063,0.0133,0.0055,0.0157,0,0.9299,0.2969,0.1315,51458,0.0135,0.0658,0.1121,0.1877,0.1558,0,0,0,0,2,2,2,2,2,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,309
0.166,0.6049,0.2292,0.8479,0,0.0104,0,0.0924,0,0.9301,0.2042,0.1098,55000,0.0216,0.0483,0.1243,0.0247,0.2603,0,0,0,0,3,2,3,4,3,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,240
0.2693,0.5878,0.1429,0.4376,0.0021,0.0165,0.0046,0.507,0,0.8736,0.1863,0.3647,41510,0.1591,0.1591,0,0.0164,0.1958,0,0,0,0,4,5,5,3,5,4.267748284791967,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,657
0.2065,0.5436,0.2499,0.9645,0,0.0251,0,0.002,0,0.8871,0.1776,0.099,51442,0.0069,0.0753,0.0301,0,0.1299,0,0,49.29,0,2,3,3,2,2,5.932749293,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,369
0.1252,0.661,0.2138,0.9518,0.0209,0.0052,0,0.0222,0,0.9167,0.1438,0.103,39276,0.0229,0.0823,0.005,0.0023,0.2868,0,0,0,0,1,3,2,2,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,114
0.2381,0.6119,0.1499,0.566,0.0005,0.0197,0.0091,0.3829,0,0.8802,0.1828,0.2175,45921,0.0697,0.0772,0.0096,0.0096,0.1941,0,0,0,0,4,5,5,4,5,0.7548042598659421,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,882
0.1456,0.5595,0.2948,0.8699,0.0022,0.0444,0.0075,0.0706,0,0.7882,0.1511,0.1877,41338,0.0592,0.1214,0.0859,0.0256,0.2094,0,0,0,0,2,3,2,3,2,0.1384564870820099,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,465
0.2732,0.5775,0.1493,0.3937,0,0.0533,0,0.5334,0,0.8353,0.14,0.4616,29471,0.0914,0.16,0,0,0.121,0,0,0,0,5,5,5,5,5,4.184385576848875,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,433
0.234,0.555,0.211,0.9482,0.0135,0.0222,0,0.0013,0,0.9018,0.2162,0.0991,48542,0.0416,0.1044,0.009,0.0074,0.1734,0,1,0,0,4,3,2,3,3,0.1138172856967543,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,462
0.1815,0.5939,0.2246,0.9467,0.0007,0.0159,0,0.0252,0,0.8923,0.1919,0.1353,45855,0.0402,0.1374,0,0.0439,0.2577,0,1,0,0,2,2,2,2,2,0.4673124405358848,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,557
0.1618,0.5564,0.2819,0.974,0,0.003,0.0013,0.0147,0,0.911,0.1998,0.106,47991,0.0085,0.1262,0.0552,0.0828,0.2561,0,0,0,0,2,2,2,1,1,-5.094946908,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,394
0.149,0.6488,0.2022,0.9587,0,0.0251,0.0021,0.0089,0,0.8978,0.1928,0.0864,51167,0.0292,0.0975,0.0694,0,0.169,0,0,0,0,3,1,3,3,3,-0.395010018,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,538
0.2065,0.6123,0.1812,0.8883,0,0.0246,0,0.0813,0,0.9084,0.2699,0.0716,60046,0.0134,0.0761,0.0308,0.325,0.188,0,0,0,0,2,1,2,3,2,0.011386497,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,701
0.2081,0.601,0.1909,0.9918,0,0.0021,0,0.0021,0,0.9167,0.2531,0.0437,59800,0.0066,0.0615,0.2305,0,0.2173,0,0,0,0,3,2,5,1,2,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,232
0.2896,0.6391,0.0713,0.2335,0,0.0082,0.0089,0.7363,0,0.8538,0.1555,0.3944,36552,0.2697,0.1136,0,0.0067,0.1704,0,0,0,0,5,5,3,3,4,4.852685908995568,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,707
0.1476,0.5907,0.2618,0.9694,0.0073,0.0063,0,0,0,0.773,0.0923,0.1653,39014,0.0604,0.1682,0,0.0444,0.2306,0,0,0,0,3,4,3,5,4,20.20946873992653,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,980
0.173,0.6079,0.219,0.8369,0.0073,0.127,0,0.012,0,0.8977,0.2311,0.0961,65000,0.016,0.0894,0.016,0.0955,0.1063,0,0,0,1,3,1,2,3,2,50.505050505050505,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,403
0.1728,0.5831,0.244,0.8664,0.0184,0.0835,0,0,0,0.8693,0.2659,0.1269,34382,0.0138,0.1348,0.0372,0.0311,0.1796,0,1,27.48,0,3,2,5,1,3,1.1650104233010268,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,626
0.2751,0.5315,0.1934,0.9355,0,0.0473,0,0.0158,0,0.9326,0.3652,0.0259,77569,0.0106,0.1506,0.0308,0,0.3199,0,0,0,0,1,4,3,2,2,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,151
0.1675,0.6148,0.2177,0.6274,0.0203,0.3122,0,0,0.0042,0.7748,0.2296,0.1448,40385,0.0586,0.0579,0.214,0,0.1257,0,0,0,0,2,3,2,5,3,78.98894154818325,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,299
0.2416,0.6149,0.1435,0.3794,0.0294,0.5682,0.0003,0.002,0,0.7003,0.0949,0.1958,38625,0.0703,0.16,0.2064,0,0.152,0,0,0,0,4,4,5,5,5,5.32865684,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,793
0.1586,0.5753,0.2661,0.7695,0.0081,0.21,0.0012,0.009,0,0.8535,0.2049,0.1724,41756,0.0426,0.0937,0.0109,0.0594,0.165,0,0,0,0,4,3,5,5,5,-0.565309021,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,638
0.2361,0.5874,0.1765,0.5828,0.0343,0.3278,0.001,0.0439,0,0.7704,0.1703,0.1968,40257,0.0488,0.1361,0.097,0,0.1543,0,0,0,0,3,4,4,4,4,0.9397722350110768,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,704
0.1936,0.5199,0.2865,0.5481,0.1506,0.2859,0,0.0006,0,0.7224,0.1618,0.2505,33750,0.1164,0.1275,0.0581,0.0156,0.1895,0,0,0,0,4,4,3,4,4,64.1025641,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,259
0.1986,0.6619,0.1395,0.3543,0.0036,0.6311,0,0,0,0.7368,0.1104,0.2268,50646,0.0277,0.0883,0.2238,0,0.2092,0,0,0,0,4,3,4,4,4,7.956356942928171,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,892
0.1802,0.6441,0.1757,0.1687,0.004,0.7809,0,0,0.0013,0.6488,0.0766,0.238,33981,0.0464,0.2459,0.0796,0,0.294,0,1,0,0,4,5,5,4,5,1.0019777035913506,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,547
0.1609,0.6156,0.2235,0.6746,0.0425,0.2794,0.0004,0.0022,0,0.7851,0.143,0.1895,42118,0.1176,0.215,0.0938,0,0.1814,0,0,0,0,1,4,4,3,3,19.032136103705767,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,523
0.152,0.6209,0.227,0.8212,0.0394,0.1035,0.0054,0.008,0.0006,0.8735,0.1652,0.1501,40560,0.0493,0.1168,0.0784,0,0.1291,0,0,0,0,4,4,4,4,4,2.0959607692036286,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,648
0.1366,0.5927,0.2707,0.4561,0.001,0.5424,0,0.0005,0,0.7507,0.2397,0.0774,39457,0.0391,0.1598,0.1092,0,0.2066,0,0,0,0,1,4,4,5,4,23.89677747263061,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,303
0.1679,0.5997,0.2324,0.6431,0.0356,0.3127,0.0036,0,0.001,0.8281,0.1844,0.1977,41531,0.0682,0.11,0.1692,0,0.172,0,0,25.99,0,4,3,4,5,4,0.8874391719843153,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,824
0.175,0.5341,0.2909,0.8167,0.0197,0.1636,0,0,0,0.8082,0.1604,0.0693,48068,0.0929,0.1952,0.0639,0,0.1929,0,0,0,0,2,3,3,5,3,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,268
0.1971,0.6704,0.1325,0.6273,0,0.3727,0,0,0,0.7515,0.2521,0.0527,62159,0.0272,0.0177,0.492,0,0.0944,0,0,0,0,2,3,4,1,2,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,351
0.1907,0.5803,0.229,0.5743,0.067,0.34,0.0047,0.0003,0,0.7212,0.1254,0.287,27244,0.0906,0.1534,0.1151,0.0063,0.1429,0,0,0,0,4,4,4,2,4,3.157055248466847,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,581
0.1943,0.6151,0.1905,0.6655,0.0815,0.2305,0.0035,0,0,0.7563,0.1348,0.1546,35156,0.0567,0.2339,0.0659,0,0.1604,1,2,0,0,4,2,4,4,4,2.731119381555392,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,866
0.2063,0.6334,0.1603,0.1876,0.0115,0.784,0.0129,0,0,0.5219,0.0748,0.3794,26635,0.0556,0.2513,0.1432,0,0.0908,0,0,0,1,4,4,5,4,4,1.3749707926801733,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,995
0.2244,0.6052,0.1704,0.7425,0,0.2324,0,0,0,0.9166,0.1566,0.1171,64100,0.0333,0.0664,0.5635,0,0.1092,0,0,0,1,3,3,2,4,3,64.30868167202573,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,262
0.1526,0.5322,0.3152,0.6209,0.0054,0.3588,0.0081,0.0032,0,0.8062,0.3842,0.0798,50174,0.0478,0.1409,0.28,0,0.0704,0,0,0,0,1,4,2,2,2,4.455691600197035,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,340
0.2437,0.5986,0.1577,0.2867,0,0.7115,0.0018,0,0,0.5759,0.1146,0.2276,24000,0,0.0949,0.2195,0,0.0536,0,0,0,0,2,1,2,4,2,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,142
0.1919,0.5232,0.2849,0.8171,0.0045,0.1739,0,0.0045,0,0.7831,0.239,0.1167,50625,0.0215,0.2271,0,0,0.0825,0,0,0,0,2,2,4,4,3,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,120
0.1302,0.5639,0.3059,0.7604,0.0002,0.2261,0,0.0025,0,0.8308,0.1698,0.1895,41263,0.0601,0.1408,0.0307,0.0872,0.1921,0,0,0,0,3,2,4,2,3,24.10900343962436,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,679
0.1642,0.7117,0.1241,0.7664,0,0.2336,0,0,0,0.8057,0.2322,0.0328,57083,0.0409,0.0326,0.0638,0,0,0,0,0,0,1,5,2,5,4,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,44
0.1688,0.6571,0.1741,0.374,0.0008,0.6252,0,0,0,0.6721,0.1322,0.2048,34398,0.1441,0.0693,0.0314,0,0.1743,0,0,0,0,4,4,4,5,5,3.311194055017541,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,970
0.2262,0.57,0.2038,0.6042,0.0649,0.3244,0.0005,0.0013,0.0003,0.8011,0.1833,0.1465,42188,0.0539,0.1481,0.2203,0,0.1998,0,0,26.27,0,3,3,4,3,3,3.2834252692408725,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,697
0.2244,0.6342,0.1414,0.6741,0.0037,0.2917,0.0037,0.008,0.0006,0.8014,0.1771,0.1036,60163,0.0576,0.107,0.1606,0,0.1687,0,0,0,0,3,4,3,3,3,3.353031715022308,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,869
0.0789,0.6711,0.25,0.7237,0,0.1579,0,0.0395,0,0.7463,0.0299,0.1644,56875,0,0.2157,0,0,0.0996,0,0,0,0,4,4,3,3,4,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,22
0.1997,0.5201,0.2802,0.5097,0,0.4814,0,0.0089,0,0.8143,0.1624,0.0879,57589,0.1515,0.1944,0.2543,0,0.231,0,0,0,0,1,5,3,2,3,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,207
0.1383,0.6011,0.2606,0.7156,0.0002,0.2493,0.0271,0.0032,0,0.8913,0.2365,0.1494,38496,0.0441,0.082,0.1233,0.0275,0.1858,0,0,0,0,1,1,2,2,1,0.7229814358311621,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,761
0.2071,0.5682,0.2247,0.5631,0.0125,0.3939,0,0.006,0,0.7889,0.1509,0.1342,37917,0.0836,0.1629,0.0409,0.0109,0.2118,0,0,0,0,3,2,3,3,3,4.247470712872612,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,475
0.2098,0.5202,0.27,0.8226,0.0031,0.1708,0.0006,0,0,0.8313,0.2277,0.1449,44375,0.0388,0.1577,0.0677,0.032,0.1927,0,1,0,0,3,2,3,4,3,23.71812224416494,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,685
0.1517,0.5411,0.3072,0.864,0.0029,0.1115,0,0,0,0.884,0.174,0.1551,35433,0.1004,0.172,0.1317,0.0038,0.2156,0,0,0,0,3,3,3,5,3,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,250
0.2305,0.6124,0.1571,0.7337,0.0517,0.1619,0.0014,0.0014,0,0.8482,0.2592,0.1324,52292,0.0551,0.1159,0.0399,0.1444,0.0825,0,0,0,1,3,3,2,4,3,-3.907827661,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,395
0.1443,0.5146,0.3411,0.8008,0.0015,0.1965,0.0003,0,0,0.8035,0.2316,0.1841,37059,0.0675,0.119,0.0381,0.0391,0.1522,0,0,0,0,1,4,5,3,3,5.194535348813052,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,512
0.2503,0.5836,0.1661,0.9585,0,0.0288,0.0043,0,0,0.9386,0.315,0.0181,72500,0.0251,0.1747,0.0947,0.0049,0.1273,0,0,0,0,2,1,1,4,2,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,172
0.2359,0.6108,0.1533,0.485,0.0025,0.5096,0.0022,0,0,0.7629,0.1912,0.1315,59766,0.0455,0.0958,0.1796,0.1019,0.1407,0,0,0,0,4,4,2,3,3,7.726083589999998,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,761
0.1992,0.6289,0.1718,0.8577,0.0015,0.115,0.0021,0,0,0.8447,0.2516,0.1847,50285,0.0493,0.1699,0.4363,0.0166,0.134,0,0,0,0,2,3,5,3,3,1.703213188228499,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,677
0.2157,0.6566,0.1277,0.5666,0.0046,0.4203,0,0.0065,0,0.7429,0.2158,0.1361,52969,0.01,0.1679,0.4034,0,0.1707,0,0,0,0,4,4,3,3,3,9.842910194642172,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,790
0.2425,0.6285,0.129,0.6099,0.0024,0.3771,0,0,0,0.8575,0.2371,0.1553,50156,0.0134,0.0818,0.2909,0.0342,0.1822,0,0,0,0,3,2,2,4,2,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,215
0.2157,0.5458,0.2384,0.7194,0.0438,0.2303,0,0,0,0.7946,0.1354,0.1886,47969,0.0692,0.1935,0.1642,0.0544,0.1095,0,0,0,0,1,3,4,1,2,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,185
0.1157,0.5643,0.3201,0.2866,0.0129,0.6967,0,0.0039,0,0.7639,0.1698,0.2494,24821,0.0506,0.0692,0.0317,0.0175,0.108,0,0,0,0,3,4,5,5,5,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,201
0.1257,0.5947,0.2796,0.8105,0.0033,0.1513,0.0053,0,0,0.8057,0.1988,0.1334,39438,0.0313,0.1376,0.193,0,0.1696,0,0,0,0,2,3,4,2,3,70.12622720897616,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,292
0.261,0.6017,0.1373,0.4167,0.0469,0.5246,0.0026,0.0009,0,0.7537,0.099,0.2036,48220,0.0448,0.1058,0.3138,0.047,0.2193,0,0,0,0,4,5,3,2,4,1.1631413432128568,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,874
0.1691,0.6285,0.2024,0.9587,0,0.024,0,0.008,0,0.9509,0.1453,0.0477,75938,0.0493,0.0239,0,0.0216,0.1088,0,0,0,0,3,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,111
0.1856,0.5498,0.2647,0.9521,0.0005,0.0436,0,0.0011,0,0.8301,0.2072,0.1668,37112,0.0379,0.1944,0,0,0.1391,0,0,0,0,5,4,3,4,4,55.27915976,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,421
0.2828,0.5578,0.1594,0.8993,0.0009,0.0819,0,0,0,0.9609,0.2041,0.1579,52569,0.0556,0.1575,0.0261,0.038,0.1099,1,1,0,0,3,2,1,1,1,-3.894524403,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,441
0.2283,0.5847,0.187,0.923,0.0041,0.0504,0.0088,0.0041,0.007,0.9206,0.2912,0.1368,41684,0.019,0.0861,0.0289,0.1195,0.1667,0,1,73.64,0,2,2,2,3,2,3.1811487481590603,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,606
0.1215,0.5179,0.3605,0.9955,0,0,0,0.0018,0,0.8408,0.2241,0.1256,44877,0.0131,0.1468,0.053,0.0818,0.1184,0,0,0,0,1,1,2,2,1,0.020118012,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,345
0.0567,0.8013,0.142,0.8054,0.09,0.0418,0.0395,0,0,0.8504,0.4489,0.184,34464,0.0393,0.0702,0,0.0115,0.0905,0,0,14.21,0,1,4,1,2,2,-0.979104658,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,696
0.1473,0.587,0.2657,0.8791,0.0038,0.068,0.0118,0.0045,0.0073,0.8993,0.2541,0.1483,42083,0.0899,0.1329,0.1214,0.0569,0.1127,1,1,25.18,1,2,2,2,3,2,0.012689631,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,820
0.1959,0.5796,0.2246,0.9225,0,0.0332,0.0085,0.0031,0,0.9642,0.242,0.1133,51395,0.0441,0.1739,0.0173,0.0066,0.199,1,1,0,0,1,3,1,2,2,-0.924793073,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,500
0.1207,0.566,0.3133,0.8968,0.0012,0.0464,0.0193,0.021,0.0002,0.9313,0.1507,0.1412,48116,0.0697,0.225,0.2081,0.0726,0.0816,1,1,24.69,0,3,1,3,3,3,-1.817666278,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,604
0.1292,0.6167,0.2541,0.9828,0.0025,0.0103,0,0.0013,0,0.9284,0.175,0.0801,46595,0.0759,0.1442,0.0105,0.0231,0.1028,0,0,0,0,3,1,2,4,3,21.682102000560207,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,769
0.2672,0.6067,0.1261,0.0909,0.0031,0.057,0.0211,0.8106,0,0.8931,0.1647,0.3313,37147,0.11,0.1459,0,0,0.0154,1,1,0,0,4,5,4,5,5,0.7222532889284388,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,972
0.1485,0.6689,0.1825,0.8951,0.0012,0.0424,0.0052,0.0336,0,0.8895,0.1899,0.1364,40640,0.0046,0.1714,0.039,0.0178,0.1566,1,0,40.03,0,2,4,3,1,2,0.1932358441995205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604
